
---------- Begin Simulation Statistics ----------
simSeconds                                   0.176537                       # Number of seconds simulated (Second)
simTicks                                 176537063118                       # Number of ticks simulated (Tick)
finalTick                                176537063118                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1952.35                       # Real time elapsed on the host (Second)
hostTickRate                                 90422647                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                  268783588                       # Number of bytes of host memory used (Byte)
simInsts                                     67408805                       # Number of instructions simulated (Count)
simOps                                      116912226                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    34527                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      59883                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        335621794                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               4.978901                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.200848                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       264019393                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      159                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      216345596                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  96570                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            147107318                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         294380403                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  98                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           335484302                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.644875                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.196188                       # Number of insts issued each cycle (Count)
system.cpu.l1d.inTransLatHist.Local_Eviction::gmean    17.088934                       (Unspecified)
system.cpu.l1d.inTransLatHist.Local_Eviction::stdev     5.788728                       (Unspecified)
system.cpu.l1d.inTransLatHist.Local_Eviction |     1172279     55.90%     55.90% |      829435     39.55%     95.45% |       88017      4.20%     99.64% |        7346      0.35%     99.99% |         156      0.01%    100.00% (Unspecified)
system.cpu.l1d.inTransLatHist.Local_Eviction::total      2097233                       (Unspecified)
system.cpu.l1d.inTransLatHist.Local_Eviction.SC.I.total      1498680                       (Unspecified)
system.cpu.l1d.inTransLatHist.Local_Eviction.UD.I.total           56                       (Unspecified)
system.cpu.l1d.inTransLatHist.Local_Eviction.SD.I.total       598497                       (Unspecified)
system.cpu.l1d.cache.numDataArrayReads        1876111                       # Number of data array reads (Unspecified)
system.cpu.l1d.cache.numDataArrayWrites       2097411                       # Number of data array writes (Unspecified)
system.cpu.l1d.cache.streamingHnfFillBypasses            0                       # Streaming HNF cache misses that bypassed an LLC fill (Unspecified)
system.cpu.l1d.cache.numTagArrayReads         5472048                       # Number of tag array reads (Unspecified)
system.cpu.l1d.cache.numTagArrayWrites        4194644                       # Number of tag array writes (Unspecified)
system.cpu.l1d.cache.m_allocsByWay::0          262154                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l1d.cache.m_allocsByWay::1          262154                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l1d.cache.m_allocsByWay::2          262154                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l1d.cache.m_allocsByWay::3          262155                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l1d.cache.m_allocsByWay::4          131077                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l1d.cache.m_allocsByWay::5          131077                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l1d.cache.m_allocsByWay::6          131079                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l1d.cache.m_allocsByWay::7          131075                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l1d.cache.m_allocsByWay::8          131077                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l1d.cache.m_allocsByWay::9          131077                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l1d.cache.m_allocsByWay::10         131077                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l1d.cache.m_allocsByWay::11         131077                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l1d.cache.m_demand_hits            1609268                       # Number of cache demand hits (Unspecified)
system.cpu.l1d.cache.m_demand_misses         15168532                       # Number of cache demand misses (Unspecified)
system.cpu.l1d.cache.m_demand_accesses       16777800                       # Number of cache demand accesses (Unspecified)
system.cpu.l1d.datIn.m_msg_count              4194466                       # Number of messages passed the buffer (Count)
system.cpu.l1d.datIn.m_buf_msgs              0.060520                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l1d.datIn.m_stall_time          1117349768                       # Total number of ticks messages were stalled in this buffer (Tick)
system.cpu.l1d.datIn.m_avg_stall_time      266.386655                       # Average stall ticks per message ((Tick/Count))
system.cpu.l1d.datOut.m_msg_count             1197106                       # Number of messages passed the buffer (Count)
system.cpu.l1d.datOut.m_buf_msgs             0.028930                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l1d.datOut.m_stall_time          906950098                       # Total number of ticks messages were stalled in this buffer (Tick)
system.cpu.l1d.datOut.m_avg_stall_time     757.618873                       # Average stall ticks per message ((Tick/Count))
system.cpu.l1d.mandatoryQueue.m_msg_count      3374815                       # Number of messages passed the buffer (Count)
system.cpu.l1d.mandatoryQueue.m_buf_msgs     0.033420                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l1d.power_state.pwrStateResidencyTicks::UNDEFINED  53115858194                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.l1d.replTriggerQueue.m_msg_count      2097233                       # Number of messages passed the buffer (Count)
system.cpu.l1d.reqOut.m_msg_count             4194490                       # Number of messages passed the buffer (Count)
system.cpu.l1d.reqOut.m_buf_msgs             0.070830                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l1d.reqOut.m_stall_time         1555904984                       # Total number of ticks messages were stalled in this buffer (Tick)
system.cpu.l1d.reqOut.m_avg_stall_time     370.940206                       # Average stall ticks per message ((Tick/Count))
system.cpu.l1d.reqRdy.m_msg_count             3374815                       # Number of messages passed the buffer (Count)
system.cpu.l1d.rspIn.m_msg_count              2097257                       # Number of messages passed the buffer (Count)
system.cpu.l1d.rspIn.m_buf_msgs              0.030410                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l1d.rspIn.m_stall_time           566612058                       # Total number of ticks messages were stalled in this buffer (Tick)
system.cpu.l1d.rspIn.m_avg_stall_time      270.168157                       # Average stall ticks per message ((Tick/Count))
system.cpu.l1d.rspOut.m_msg_count             2097257                       # Number of messages passed the buffer (Count)
system.cpu.l1d.rspOut.m_buf_msgs             0.030755                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l1d.rspOut.m_stall_time          530398290                       # Total number of ticks messages were stalled in this buffer (Tick)
system.cpu.l1d.rspOut.m_avg_stall_time     252.900951                       # Average stall ticks per message ((Tick/Count))
system.cpu.l1d.sf.streamingHnfFillBypasses            0                       # Streaming HNF cache misses that bypassed an LLC fill (Unspecified)
system.cpu.l1d.sf.m_allocsByWay                     0                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l1d.sf.m_demand_hits                     0                       # Number of cache demand hits (Unspecified)
system.cpu.l1d.sf.m_demand_misses                   0                       # Number of cache demand misses (Unspecified)
system.cpu.l1d.sf.m_demand_accesses                 0                       # Number of cache demand accesses (Unspecified)
system.cpu.l1d.triggerQueue.m_msg_count      33869178                       # Number of messages passed the buffer (Count)
system.cpu.l1d.triggerQueue.m_buf_msgs       0.039348                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l1d.triggerQueue.m_stall_count      2097233                       # Number of times messages were stalled (Count)
system.cpu.l1i.avg_size                      0.021175                       # Avg. number of slots allocated (Unspecified)
system.cpu.l1i.avg_util                      0.000441                       # Avg. utilization (Unspecified)
system.cpu.l1i.avg_reserved                  0.000000                       # Avg. number of slots reserved (Unspecified)
system.cpu.l1i.avg_size                             0                       # Avg. number of slots allocated (Unspecified)
system.cpu.l1i.avg_util                             0                       # Avg. utilization (Unspecified)
system.cpu.l1i.avg_reserved                         0                       # Avg. number of slots reserved (Unspecified)
system.cpu.l1i.avg_size                      0.000005                       # Avg. number of slots allocated (Unspecified)
system.cpu.l1i.avg_util                      0.000001                       # Avg. utilization (Unspecified)
system.cpu.l1i.avg_reserved                         0                       # Avg. number of slots reserved (Unspecified)
system.cpu.l1i.avg_size                             0                       # Avg. number of slots allocated (Unspecified)
system.cpu.l1i.avg_util                             0                       # Avg. utilization (Unspecified)
system.cpu.l1i.avg_reserved                         0                       # Avg. number of slots reserved (Unspecified)
system.cpu.l1i.avg_size                             0                       # Avg. number of slots allocated (Unspecified)
system.cpu.l1i.avg_util                             0                       # Avg. utilization (Unspecified)
system.cpu.l1i.avg_reserved                         0                       # Avg. number of slots reserved (Unspecified)
system.cpu.l1i.outTransLatHist.SendReadShared::bucket_size          128                       (Unspecified)
system.cpu.l1i.outTransLatHist.SendReadShared::max_bucket          639                       (Unspecified)
system.cpu.l1i.outTransLatHist.SendReadShared::samples          410                       (Unspecified)
system.cpu.l1i.outTransLatHist.SendReadShared::mean   100.431707                       (Unspecified)
system.cpu.l1i.outTransLatHist.SendReadShared::gmean    98.596103                       (Unspecified)
system.cpu.l1i.outTransLatHist.SendReadShared::stdev    27.432629                       (Unspecified)
system.cpu.l1i.outTransLatHist.SendReadShared |         385     93.90%     93.90% |          23      5.61%     99.51% |           0      0.00%     99.51% |           2      0.49%    100.00% |           0      0.00%    100.00% (Unspecified)
system.cpu.l1i.outTransLatHist.SendReadShared::total          410                       (Unspecified)
system.cpu.l1i.inTransLatHist.Load::bucket_size          128                       (Unspecified)
system.cpu.l1i.inTransLatHist.Load::max_bucket          639                       (Unspecified)
system.cpu.l1i.inTransLatHist.Load::samples      2097523                       (Unspecified)
system.cpu.l1i.inTransLatHist.Load::mean     1.019436                       (Unspecified)
system.cpu.l1i.inTransLatHist.Load::gmean     1.000898                       (Unspecified)
system.cpu.l1i.inTransLatHist.Load::stdev     1.441838                       (Unspecified)
system.cpu.l1i.inTransLatHist.Load       |     2097498    100.00%    100.00% |          23      0.00%    100.00% |           0      0.00%    100.00% |           2      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.cpu.l1i.inTransLatHist.Load::total      2097523                       (Unspecified)
system.cpu.l1i.inTransLatHist.Load.retries      2097524                       (Unspecified)
system.cpu.l1i.inTransLatHist.Load.SC.SC.total      2097113                       (Unspecified)
system.cpu.l1i.inTransLatHist.Load.I.SC.total          410                       (Unspecified)
system.cpu.l1i.inTransLatHist.SnpCleanInvalid::bucket_size            1                       (Unspecified)
system.cpu.l1i.inTransLatHist.SnpCleanInvalid::max_bucket            4                       (Unspecified)
system.cpu.l1i.inTransLatHist.SnpCleanInvalid::samples          525                       (Unspecified)
system.cpu.l1i.inTransLatHist.SnpCleanInvalid::mean     1.001905                       (Unspecified)
system.cpu.l1i.inTransLatHist.SnpCleanInvalid::gmean     1.001321                       (Unspecified)
system.cpu.l1i.inTransLatHist.SnpCleanInvalid::stdev     0.043644                       (Unspecified)
system.cpu.l1i.inTransLatHist.SnpCleanInvalid |           0      0.00%      0.00% |         524     99.81%     99.81% |           1      0.19%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.cpu.l1i.inTransLatHist.SnpCleanInvalid::total          525                       (Unspecified)
system.cpu.l1i.inTransLatHist.SnpCleanInvalid.SD.I.total            1                       (Unspecified)
system.cpu.l1i.inTransLatHist.SnpCleanInvalid.SC.I.total          524                       (Unspecified)
system.cpu.l1i.cache.numDataArrayReads        2097113                       # Number of data array reads (Unspecified)
system.cpu.l1i.cache.numDataArrayWrites           410                       # Number of data array writes (Unspecified)
system.cpu.l1i.cache.streamingHnfFillBypasses            0                       # Streaming HNF cache misses that bypassed an LLC fill (Unspecified)
system.cpu.l1i.cache.numTagArrayReads         2098049                       # Number of tag array reads (Unspecified)
system.cpu.l1i.cache.numTagArrayWrites            935                       # Number of tag array writes (Unspecified)
system.cpu.l1i.cache.m_allocsByWay::0             392                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l1i.cache.m_allocsByWay::1              12                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l1i.cache.m_allocsByWay::2               4                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l1i.cache.m_allocsByWay::3               2                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l1i.cache.m_allocsByWay::4               0                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l1i.cache.m_allocsByWay::5               0                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l1i.cache.m_allocsByWay::6               0                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l1i.cache.m_allocsByWay::7               0                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l1i.cache.m_demand_hits            2097113                       # Number of cache demand hits (Unspecified)
system.cpu.l1i.cache.m_demand_misses              413                       # Number of cache demand misses (Unspecified)
system.cpu.l1i.cache.m_demand_accesses        2097526                       # Number of cache demand accesses (Unspecified)
system.cpu.l1i.datIn.m_msg_count                  820                       # Number of messages passed the buffer (Count)
system.cpu.l1i.datIn.m_buf_msgs              0.000012                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l1i.datIn.m_stall_time              231766                       # Total number of ticks messages were stalled in this buffer (Tick)
system.cpu.l1i.datIn.m_avg_stall_time      282.641463                       # Average stall ticks per message ((Tick/Count))
system.cpu.l1i.datOut.m_msg_count                   2                       # Number of messages passed the buffer (Count)
system.cpu.l1i.datOut.m_buf_msgs             0.000000                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l1i.datOut.m_stall_time                866                       # Total number of ticks messages were stalled in this buffer (Tick)
system.cpu.l1i.datOut.m_avg_stall_time            433                       # Average stall ticks per message ((Tick/Count))
system.cpu.l1i.mandatoryQueue.m_msg_count      2097524                       # Number of messages passed the buffer (Count)
system.cpu.l1i.mandatoryQueue.m_buf_msgs     0.020772                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l1i.power_state.pwrStateResidencyTicks::UNDEFINED  53115858194                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.l1i.reqOut.m_msg_count                 411                       # Number of messages passed the buffer (Count)
system.cpu.l1i.reqOut.m_buf_msgs             0.000006                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l1i.reqOut.m_stall_time             106052                       # Total number of ticks messages were stalled in this buffer (Tick)
system.cpu.l1i.reqOut.m_avg_stall_time     258.034063                       # Average stall ticks per message ((Tick/Count))
system.cpu.l1i.reqRdy.m_msg_count             2097524                       # Number of messages passed the buffer (Count)
system.cpu.l1i.reqRdy.m_buf_msgs             0.000000                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l1i.reqRdy.m_stall_time               8942                       # Total number of ticks messages were stalled in this buffer (Tick)
system.cpu.l1i.reqRdy.m_stall_count                17                       # Number of times messages were stalled (Count)
system.cpu.l1i.reqRdy.m_avg_stall_time       0.004263                       # Average stall ticks per message ((Tick/Count))
system.cpu.l1i.rspOut.m_msg_count                 934                       # Number of messages passed the buffer (Count)
system.cpu.l1i.rspOut.m_buf_msgs             0.000013                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l1i.rspOut.m_stall_time             220620                       # Total number of ticks messages were stalled in this buffer (Tick)
system.cpu.l1i.rspOut.m_avg_stall_time     236.209850                       # Average stall ticks per message ((Tick/Count))
system.cpu.l1i.sf.streamingHnfFillBypasses            0                       # Streaming HNF cache misses that bypassed an LLC fill (Unspecified)
system.cpu.l1i.sf.m_allocsByWay                     0                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l1i.sf.m_demand_hits                     0                       # Number of cache demand hits (Unspecified)
system.cpu.l1i.sf.m_demand_misses                   0                       # Number of cache demand misses (Unspecified)
system.cpu.l1i.sf.m_demand_accesses                 0                       # Number of cache demand accesses (Unspecified)
system.cpu.l1i.snpIn.m_msg_count                  525                       # Number of messages passed the buffer (Count)
system.cpu.l1i.snpIn.m_buf_msgs              0.000008                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l1i.snpIn.m_stall_time              135968                       # Total number of ticks messages were stalled in this buffer (Tick)
system.cpu.l1i.snpIn.m_avg_stall_time      258.986667                       # Average stall ticks per message ((Tick/Count))
system.cpu.l1i.snpRdy.m_msg_count                 525                       # Number of messages passed the buffer (Count)
system.cpu.l1i.snpRdy.m_stall_count                10                       # Number of times messages were stalled (Count)
system.cpu.l1i.triggerQueue.m_msg_count       8394886                       # Number of messages passed the buffer (Count)
system.cpu.l1i.triggerQueue.m_buf_msgs       0.020773                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l2.avg_size                       7.299585                       # Avg. number of slots allocated (Unspecified)
system.cpu.l2.avg_util                       0.152075                       # Avg. utilization (Unspecified)
system.cpu.l2.avg_reserved                   0.000009                       # Avg. number of slots reserved (Unspecified)
system.cpu.l2.avg_size                       0.427728                       # Avg. number of slots allocated (Unspecified)
system.cpu.l2.avg_util                       0.013366                       # Avg. utilization (Unspecified)
system.cpu.l2.avg_reserved                          0                       # Avg. number of slots reserved (Unspecified)
system.cpu.l2.avg_size                              0                       # Avg. number of slots allocated (Unspecified)
system.cpu.l2.avg_util                              0                       # Avg. utilization (Unspecified)
system.cpu.l2.avg_reserved                          0                       # Avg. number of slots reserved (Unspecified)
system.cpu.l2.avg_size                              0                       # Avg. number of slots allocated (Unspecified)
system.cpu.l2.avg_util                              0                       # Avg. utilization (Unspecified)
system.cpu.l2.avg_reserved                          0                       # Avg. number of slots reserved (Unspecified)
system.cpu.l2.avg_size                              0                       # Avg. number of slots allocated (Unspecified)
system.cpu.l2.avg_util                              0                       # Avg. utilization (Unspecified)
system.cpu.l2.avg_reserved                          0                       # Avg. number of slots reserved (Unspecified)
system.cpu.l2.outTransLatHist.SendReadShared::bucket_size          128                       (Unspecified)
system.cpu.l2.outTransLatHist.SendReadShared::max_bucket          639                       (Unspecified)
system.cpu.l2.outTransLatHist.SendReadShared::samples      2097634                       (Unspecified)
system.cpu.l2.outTransLatHist.SendReadShared::mean   327.634519                       (Unspecified)
system.cpu.l2.outTransLatHist.SendReadShared::gmean   268.568240                       (Unspecified)
system.cpu.l2.outTransLatHist.SendReadShared::stdev   153.025007                       (Unspecified)
system.cpu.l2.outTransLatHist.SendReadShared |      598618     28.54%     28.54% |         407      0.02%     28.56% |           0      0.00%     28.56% |     1498609     71.44%    100.00% |           0      0.00%    100.00% (Unspecified)
system.cpu.l2.outTransLatHist.SendReadShared::total      2097634                       (Unspecified)
system.cpu.l2.outTransLatHist.SendReadUnique::bucket_size           32                       (Unspecified)
system.cpu.l2.outTransLatHist.SendReadUnique::max_bucket          159                       (Unspecified)
system.cpu.l2.outTransLatHist.SendReadUnique::samples            9                       (Unspecified)
system.cpu.l2.outTransLatHist.SendReadUnique::mean    75.777778                       (Unspecified)
system.cpu.l2.outTransLatHist.SendReadUnique::gmean    75.762424                       (Unspecified)
system.cpu.l2.outTransLatHist.SendReadUnique::stdev     1.641476                       (Unspecified)
system.cpu.l2.outTransLatHist.SendReadUnique |           0      0.00%      0.00% |           0      0.00%      0.00% |           9    100.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.cpu.l2.outTransLatHist.SendReadUnique::total            9                       (Unspecified)
system.cpu.l2.outTransLatHist.SendWriteBackOrWriteEvict::bucket_size           32                       (Unspecified)
system.cpu.l2.outTransLatHist.SendWriteBackOrWriteEvict::max_bucket          159                       (Unspecified)
system.cpu.l2.outTransLatHist.SendWriteBackOrWriteEvict::samples      2097642                       (Unspecified)
system.cpu.l2.outTransLatHist.SendWriteBackOrWriteEvict::mean    17.587025                       (Unspecified)
system.cpu.l2.outTransLatHist.SendWriteBackOrWriteEvict::gmean    16.062483                       (Unspecified)
system.cpu.l2.outTransLatHist.SendWriteBackOrWriteEvict::stdev     8.997016                       (Unspecified)
system.cpu.l2.outTransLatHist.SendWriteBackOrWriteEvict |     1911053     91.10%     91.10% |      185014      8.82%     99.92% |        1575      0.08%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.cpu.l2.outTransLatHist.SendWriteBackOrWriteEvict::total      2097642                       (Unspecified)
system.cpu.l2.inTransLatHist.ReadShared::bucket_size          128                       (Unspecified)
system.cpu.l2.inTransLatHist.ReadShared::max_bucket          639                       (Unspecified)
system.cpu.l2.inTransLatHist.ReadShared::samples      2097634                       (Unspecified)
system.cpu.l2.inTransLatHist.ReadShared::mean   344.313405                       (Unspecified)
system.cpu.l2.inTransLatHist.ReadShared::gmean   290.733289                       (Unspecified)
system.cpu.l2.inTransLatHist.ReadShared::stdev   152.724927                       (Unspecified)
system.cpu.l2.inTransLatHist.ReadShared  |      582824     27.78%     27.78% |       16201      0.77%     28.56% |           0      0.00%     28.56% |     1498609     71.44%    100.00% |           0      0.00%    100.00% (Unspecified)
system.cpu.l2.inTransLatHist.ReadShared::total      2097634                       (Unspecified)
system.cpu.l2.inTransLatHist.ReadShared.I.UC_RSC.total      1499058                       (Unspecified)
system.cpu.l2.inTransLatHist.ReadShared.I.UD_RSD.total       598576                       (Unspecified)
system.cpu.l2.inTransLatHist.ReadUnique::bucket_size           32                       (Unspecified)
system.cpu.l2.inTransLatHist.ReadUnique::max_bucket          159                       (Unspecified)
system.cpu.l2.inTransLatHist.ReadUnique::samples            9                       (Unspecified)
system.cpu.l2.inTransLatHist.ReadUnique::mean    90.222222                       (Unspecified)
system.cpu.l2.inTransLatHist.ReadUnique::gmean    90.192430                       (Unspecified)
system.cpu.l2.inTransLatHist.ReadUnique::stdev     2.488864                       (Unspecified)
system.cpu.l2.inTransLatHist.ReadUnique  |           0      0.00%      0.00% |           0      0.00%      0.00% |           8     88.89%     88.89% |           1     11.11%    100.00% |           0      0.00%    100.00% (Unspecified)
system.cpu.l2.inTransLatHist.ReadUnique::total            9                       (Unspecified)
system.cpu.l2.inTransLatHist.ReadUnique.I.UD_RU.total            9                       (Unspecified)
system.cpu.l2.inTransLatHist.CleanUnique::bucket_size            8                       (Unspecified)
system.cpu.l2.inTransLatHist.CleanUnique::max_bucket           39                       (Unspecified)
system.cpu.l2.inTransLatHist.CleanUnique::samples           24                       (Unspecified)
system.cpu.l2.inTransLatHist.CleanUnique::mean    15.375000                       (Unspecified)
system.cpu.l2.inTransLatHist.CleanUnique::gmean    15.098377                       (Unspecified)
system.cpu.l2.inTransLatHist.CleanUnique::stdev     3.359768                       (Unspecified)
system.cpu.l2.inTransLatHist.CleanUnique |           0      0.00%      0.00% |          16     66.67%     66.67% |           7     29.17%     95.83% |           1      4.17%    100.00% |           0      0.00%    100.00% (Unspecified)
system.cpu.l2.inTransLatHist.CleanUnique::total           24                       (Unspecified)
system.cpu.l2.inTransLatHist.CleanUnique.UD_RSD.UD_RU.total           24                       (Unspecified)
system.cpu.l2.inTransLatHist.Evict::bucket_size            1                       (Unspecified)
system.cpu.l2.inTransLatHist.Evict::max_bucket            4                       (Unspecified)
system.cpu.l2.inTransLatHist.Evict::samples      1498680                       (Unspecified)
system.cpu.l2.inTransLatHist.Evict::mean            2                       (Unspecified)
system.cpu.l2.inTransLatHist.Evict::gmean     2.000000                       (Unspecified)
system.cpu.l2.inTransLatHist.Evict       |           0      0.00%      0.00% |           0      0.00%      0.00% |     1498680    100.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.cpu.l2.inTransLatHist.Evict::total      1498680                       (Unspecified)
system.cpu.l2.inTransLatHist.Evict.UC_RSC.UC.total      1498680                       (Unspecified)
system.cpu.l2.inTransLatHist.WriteBackFull::bucket_size           16                       (Unspecified)
system.cpu.l2.inTransLatHist.WriteBackFull::max_bucket           79                       (Unspecified)
system.cpu.l2.inTransLatHist.WriteBackFull::samples       598553                       (Unspecified)
system.cpu.l2.inTransLatHist.WriteBackFull::mean    19.839870                       (Unspecified)
system.cpu.l2.inTransLatHist.WriteBackFull::gmean    19.142532                       (Unspecified)
system.cpu.l2.inTransLatHist.WriteBackFull::stdev     5.954011                       (Unspecified)
system.cpu.l2.inTransLatHist.WriteBackFull |      115367     19.27%     19.27% |      439838     73.48%     92.76% |       42270      7.06%     99.82% |        1078      0.18%    100.00% |           0      0.00%    100.00% (Unspecified)
system.cpu.l2.inTransLatHist.WriteBackFull::total       598553                       (Unspecified)
system.cpu.l2.inTransLatHist.WriteBackFull.UD_RU.UD.total           39                       (Unspecified)
system.cpu.l2.inTransLatHist.WriteBackFull.UC_RU.UD.total           17                       (Unspecified)
system.cpu.l2.inTransLatHist.WriteBackFull.UD_RSD.UD.total       598497                       (Unspecified)
system.cpu.l2.inTransLatHist.Local_Eviction::bucket_size           32                       (Unspecified)
system.cpu.l2.inTransLatHist.Local_Eviction::max_bucket          159                       (Unspecified)
system.cpu.l2.inTransLatHist.Local_Eviction::samples      2097118                       (Unspecified)
system.cpu.l2.inTransLatHist.Local_Eviction::mean    20.586566                       (Unspecified)
system.cpu.l2.inTransLatHist.Local_Eviction::gmean    19.233873                       (Unspecified)
system.cpu.l2.inTransLatHist.Local_Eviction::stdev     8.997104                       (Unspecified)
system.cpu.l2.inTransLatHist.Local_Eviction |     1854889     88.45%     88.45% |      239523     11.42%     99.87% |        2706      0.13%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.cpu.l2.inTransLatHist.Local_Eviction::total      2097118                       (Unspecified)
system.cpu.l2.inTransLatHist.Local_Eviction.UD.I.total       598441                       (Unspecified)
system.cpu.l2.inTransLatHist.Local_Eviction.UC.I.total      1498677                       (Unspecified)
system.cpu.l2.inTransLatHist.Global_Eviction::bucket_size           32                       (Unspecified)
system.cpu.l2.inTransLatHist.Global_Eviction::max_bucket          159                       (Unspecified)
system.cpu.l2.inTransLatHist.Global_Eviction::samples          524                       (Unspecified)
system.cpu.l2.inTransLatHist.Global_Eviction::mean    37.803435                       (Unspecified)
system.cpu.l2.inTransLatHist.Global_Eviction::gmean    36.338278                       (Unspecified)
system.cpu.l2.inTransLatHist.Global_Eviction::stdev    11.876254                       (Unspecified)
system.cpu.l2.inTransLatHist.Global_Eviction |         230     43.89%     43.89% |         276     52.67%     96.56% |          15      2.86%     99.43% |           3      0.57%    100.00% |           0      0.00%    100.00% (Unspecified)
system.cpu.l2.inTransLatHist.Global_Eviction::total          524                       (Unspecified)
system.cpu.l2.inTransLatHist.Global_Eviction.UC_RSC.I.total          524                       (Unspecified)
system.cpu.l2.cache.numDataArrayReads         2097643                       # Number of data array reads (Unspecified)
system.cpu.l2.cache.numDataArrayWrites        2696220                       # Number of data array writes (Unspecified)
system.cpu.l2.cache.streamingHnfFillBypasses            0                       # Streaming HNF cache misses that bypassed an LLC fill (Unspecified)
system.cpu.l2.cache.numTagArrayReads          6292544                       # Number of tag array reads (Unspecified)
system.cpu.l2.cache.numTagArrayWrites         6292542                       # Number of tag array writes (Unspecified)
system.cpu.l2.cache.m_allocsByWay::0           131103                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l2.cache.m_allocsByWay::1           131103                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l2.cache.m_allocsByWay::2           131104                       # Lines placed in each way (way-partitioning audit) (Unspecified)
